timestamp,cpu_usage,memory_usage,temperature,latency,packet_loss
2026-06-27T16:07:03.197552,45.0,60.0,55.0,20.0,0.1
2026-06-27T16:07:03.205913,99.5,95.0,88.0,850.0,25.0
2026-06-27T16:15:17.468792,45.0,60.0,55.0,20.0,0.1
2026-06-27T16:15:17.483859,99.5,95.0,88.0,850.0,25.0
2026-06-27T21:27:46.035709,45.0,60.0,42.0,15.0,0.1
2026-06-27T21:27:46.038226,20.0,30.0,35.0,5.0,0.0
2026-06-27T21:27:46.039968,95.0,88.0,75.0,150.0,5.5
2026-06-27T21:27:46.043495,95.0,88.0,75.0,150.0,5.5
2026-06-27T21:27:46.045466,85.0,85.0,60.0,50.0,2.0
2026-06-27T21:27:46.064501,45.0,60.0,42.0,15.0,0.1
2026-06-27T21:27:46.111849,85.0,85.0,60.0,50.0,2.0
2026-06-27T21:27:46.111149,20.0,30.0,35.0,5.0,0.0
2026-06-27T21:32:51.017613,95.0,88.0,75.0,150.0,5.5
2026-06-27T21:32:51.021595,85.0,85.0,60.0,50.0,2.0
2026-06-27T21:32:51.020997,20.0,30.0,35.0,5.0,0.0
2026-06-27T21:32:51.014509,45.0,60.0,42.0,15.0,0.1
2026-06-27T21:32:51.026633,45.0,60.0,42.0,15.0,0.1
2026-06-27T21:32:51.029921,95.0,88.0,75.0,150.0,5.5
2026-06-27T21:32:51.103593,85.0,85.0,60.0,50.0,2.0
2026-06-27T21:32:51.104049,20.0,30.0,35.0,5.0,0.0
2026-06-27T21:32:55.941802,45.0,60.0,55.0,20.0,0.1
2026-06-27T21:32:55.953332,95.0,95.0,88.0,150.0,25.0
2026-06-27T21:32:56.071738,45.0,60.0,55.0,20.0,0.1
2026-06-27T21:32:56.095284,95.0,95.0,88.0,150.0,25.0
2026-06-27T21:32:58.942630,45.0,60.0,55.0,20.0,0.1
2026-06-27T21:32:58.958667,95.0,95.0,88.0,150.0,25.0
2026-06-27T21:34:22.624974,45.0,60.0,55.0,20.0,0.1
2026-06-27T21:34:22.828142,95.0,95.0,88.0,150.0,25.0
2026-06-27T21:34:22.942856,45.0,60.0,55.0,20.0,0.1
2026-06-27T21:34:22.956867,95.0,95.0,88.0,150.0,25.0
2026-06-27T21:34:25.610320,45.0,60.0,55.0,20.0,0.1
2026-06-27T21:34:25.630095,95.0,95.0,88.0,150.0,25.0
2026-06-27T21:34:28.610714,45.0,60.0,55.0,20.0,0.1
2026-06-27T21:34:28.634244,95.0,95.0,88.0,150.0,25.0
2026-06-27T21:34:31.621268,45.0,60.0,55.0,20.0,0.1
2026-06-27T21:34:31.703143,95.0,95.0,88.0,150.0,25.0
2026-06-27T21:34:34.613133,45.0,60.0,55.0,20.0,0.1
